Date;Nationality;Sex;Age;Population
1970-12-31;Germans;Male;under 1 year;371693
1970-12-31;Germans;Male;1 year;424926
1970-12-31;Germans;Male;2 years;460697
1970-12-31;Germans;Male;3 years;481143
1970-12-31;Germans;Male;4 years;496986
1970-12-31;Germans;Male;5 years;500132
1970-12-31;Germans;Male;6 years;512455
1970-12-31;Germans;Male;7 years;507993
1970-12-31;Germans;Male;8 years;490245
1970-12-31;Germans;Male;9 years;488689
1970-12-31;Germans;Male;10 years;472077
1970-12-31;Germans;Male;11 years;462441
1970-12-31;Germans;Male;12 years;441932
1970-12-31;Germans;Male;13 years;433826
1970-12-31;Germans;Male;14 years;417820
1970-12-31;Germans;Male;15 years;401925
1970-12-31;Germans;Male;16 years;402065
1970-12-31;Germans;Male;17 years;387332
1970-12-31;Germans;Male;18 years;390554
1970-12-31;Germans;Male;19 years;383530
1970-12-31;Germans;Male;20 years;392678
1970-12-31;Germans;Male;21 years;394453
1970-12-31;Germans;Male;22 years;368447
1970-12-31;Germans;Male;23 years;341684
1970-12-31;Germans;Male;24 years;313494
1970-12-31;Germans;Male;25 years;266248
1970-12-31;Germans;Male;26 years;365684
1970-12-31;Germans;Male;27 years;378588
1970-12-31;Germans;Male;28 years;370005
1970-12-31;Germans;Male;29 years;459021
1970-12-31;Germans;Male;30 years;495794
1970-12-31;Germans;Male;31 years;493938
1970-12-31;Germans;Male;32 years;466828
1970-12-31;Germans;Male;33 years;441791
1970-12-31;Germans;Male;34 years;439660
1970-12-31;Germans;Male;35 years;434125
1970-12-31;Germans;Male;36 years;409508
1970-12-31;Germans;Male;37 years;333272
1970-12-31;Germans;Male;38 years;340695
1970-12-31;Germans;Male;39 years;356643
1970-12-31;Germans;Male;40 years;385148
1970-12-31;Germans;Male;41 years;382838
1970-12-31;Germans;Male;42 years;392515
1970-12-31;Germans;Male;43 years;356890
1970-12-31;Germans;Male;44 years;336788
1970-12-31;Germans;Male;45 years;328697
1970-12-31;Germans;Male;46 years;291816
1970-12-31;Germans;Male;47 years;290294
1970-12-31;Germans;Male;48 years;310725
1970-12-31;Germans;Male;49 years;324355
1970-12-31;Germans;Male;50 years;318509
1970-12-31;Germans;Male;51 years;247813
1970-12-31;Germans;Male;52 years;167124
1970-12-31;Germans;Male;53 years;163188
1970-12-31;Germans;Male;54 years;179077
1970-12-31;Germans;Male;55 years;234291
1970-12-31;Germans;Male;56 years;297914
1970-12-31;Germans;Male;57 years;310188
1970-12-31;Germans;Male;58 years;318765
1970-12-31;Germans;Male;59 years;303924
1970-12-31;Germans;Male;60 years;305917
1970-12-31;Germans;Male;61 years;313619
1970-12-31;Germans;Male;62 years;307456
1970-12-31;Germans;Male;63 years;305386
1970-12-31;Germans;Male;64 years;294008
1970-12-31;Germans;Male;65 years;296292
1970-12-31;Germans;Male;66 years;288104
1970-12-31;Germans;Male;67 years;267531
1970-12-31;Germans;Male;68 years;259207
1970-12-31;Germans;Male;69 years;241767
1970-12-31;Germans;Male;70 years;220109
1970-12-31;Germans;Male;71 years;195570
1970-12-31;Germans;Male;72 years;174340
1970-12-31;Germans;Male;73 years;152448
1970-12-31;Germans;Male;74 years;137587
1970-12-31;Germans;Male;75 years;119628
1970-12-31;Germans;Male;76 years;106259
1970-12-31;Germans;Male;77 years;97623
1970-12-31;Germans;Male;78 years;85749
1970-12-31;Germans;Male;79 years;78576
1970-12-31;Germans;Male;80 years;67716
1970-12-31;Germans;Male;81 years;59189
1970-12-31;Germans;Male;82 years;52395
1970-12-31;Germans;Male;83 years;44554
1970-12-31;Germans;Male;84 years;36338
1970-12-31;Germans;Male;85 years and over;130321
1970-12-31;Germans;Male;Total;27369565
1970-12-31;Germans;Female;under 1 year;355006
1970-12-31;Germans;Female;1 year;405436
1970-12-31;Germans;Female;2 years;438507
1970-12-31;Germans;Female;3 years;458880
1970-12-31;Germans;Female;4 years;474015
1970-12-31;Germans;Female;5 years;475350
1970-12-31;Germans;Female;6 years;487089
